filename,x_from,y_from,width,height,sign_class,sign_id
autosave01_02_2012_09_13_33.jpg,649,376,18,18,2_1,0
autosave01_02_2012_09_13_34.jpg,671,356,20,21,2_1,0
autosave01_02_2012_09_13_35.jpg,711,332,27,26,2_1,0
autosave01_02_2012_09_13_36.jpg,764,290,37,36,2_1,0
autosave01_02_2012_09_13_36.jpg,684,384,17,17,1_23,1
autosave01_02_2012_09_13_37.jpg,876,200,56,57,2_1,0
autosave01_02_2012_09_13_37.jpg,705,377,22,21,1_23,1
autosave01_02_2012_09_13_38.jpg,749,353,26,25,1_23,1
autosave01_02_2012_09_13_39.jpg,840,299,42,46,1_23,1
autosave01_02_2012_09_13_42.jpg,698,331,18,18,1_17,2
autosave01_02_2012_09_13_42.jpg,700,352,18,17,1_23,3
autosave01_02_2012_09_13_43.jpg,746,291,25,26,1_17,2
autosave01_02_2012_09_13_43.jpg,749,320,26,24,1_23,3
autosave01_02_2012_09_13_43.jpg,751,360,21,23,3_24_n40,4
autosave01_02_2012_09_13_44.jpg,838,224,36,37,1_17,2
autosave01_02_2012_09_13_44.jpg,844,267,38,35,1_23,3
autosave01_02_2012_09_13_44.jpg,843,306,41,19,8_2_1,5
autosave01_02_2012_09_13_44.jpg,848,328,34,33,3_24_n40,4
autosave01_02_2012_09_13_45.jpg,1076,32,75,70,1_17,2
autosave01_02_2012_09_13_45.jpg,1085,113,78,67,1_23,3
autosave01_02_2012_09_13_45.jpg,1085,186,80,31,8_2_1,5
autosave01_02_2012_09_13_47.jpg,702,339,19,19,5_20,6
autosave01_02_2012_09_13_48.jpg,731,320,24,23,5_20,6
autosave01_02_2012_09_13_48.jpg,735,345,20,21,3_24_n20,7
autosave01_02_2012_09_13_49.jpg,780,279,35,33,5_20,6
autosave01_02_2012_09_13_49.jpg,787,313,27,26,3_24_n20,7
autosave01_02_2012_09_13_49.jpg,786,341,36,18,8_2_1,8
autosave01_02_2012_09_13_50.jpg,870,199,53,48,5_20,6
autosave01_02_2012_09_13_50.jpg,878,249,47,45,3_24_n20,7
autosave01_02_2012_09_13_50.jpg,880,295,56,26,8_2_1,8
autosave01_02_2012_09_13_51.jpg,1102,0,96,73,5_20,6
autosave01_02_2012_09_13_51.jpg,1124,169,111,48,8_2_1,8
autosave01_02_2012_09_13_54.jpg,668,379,17,16,5_19_1,9
autosave01_02_2012_09_13_54.jpg,143,372,26,35,5_16,10
autosave01_02_2012_09_13_54.jpg,374,405,17,17,5_19_1,11
autosave01_02_2012_09_13_55.jpg,688,375,19,19,5_19_1,9
autosave01_02_2012_09_13_55.jpg,6,355,33,45,5_16,10
autosave01_02_2012_09_13_55.jpg,357,405,17,17,5_19_1,11
autosave01_02_2012_09_13_57.jpg,739,347,27,28,5_19_1,9
autosave01_02_2012_09_13_57.jpg,248,392,26,26,5_19_1,11
autosave01_02_2012_09_13_58.jpg,799,310,38,37,5_19_1,9
autosave01_02_2012_09_13_58.jpg,143,374,34,32,5_19_1,11
autosave01_02_2012_09_13_59.jpg,989,199,65,62,5_19_1,9
autosave01_02_2012_09_13_59.jpg,683,338,16,24,5_16,12
autosave01_02_2012_09_14_00.jpg,716,310,21,35,5_16,12
autosave01_02_2012_09_14_01.jpg,867,178,55,74,5_16,12
autosave01_02_2012_09_14_01.jpg,697,368,20,19,5_20,13
autosave01_02_2012_09_14_02.jpg,950,104,69,98,5_16,12
autosave01_02_2012_09_14_02.jpg,703,366,21,20,5_20,13
autosave01_02_2012_09_14_03.jpg,729,352,25,24,5_20,13
autosave01_02_2012_09_14_04.jpg,753,343,29,28,5_20,13
autosave01_02_2012_09_14_05.jpg,788,320,36,35,5_20,13
autosave01_02_2012_09_14_06.jpg,857,282,47,44,5_20,13
autosave01_02_2012_09_14_07.jpg,1000,212,78,65,5_20,13
autosave01_02_2012_09_14_12.jpg,709,372,21,21,3_25_n20,14
autosave01_02_2012_09_14_13.jpg,744,345,27,28,3_25_n20,14
autosave01_02_2012_09_15_16.jpg,720,361,27,25,5_19_1,15
autosave01_02_2012_09_15_17.jpg,729,348,27,25,5_19_1,15
autosave01_02_2012_09_15_18.jpg,744,340,29,30,5_19_1,15
autosave01_02_2012_09_15_19.jpg,767,329,32,31,5_19_1,15
autosave01_02_2012_09_15_19.jpg,706,363,17,23,5_16,16
autosave01_02_2012_09_15_20.jpg,799,310,36,38,5_19_1,15
autosave01_02_2012_09_15_20.jpg,718,355,20,25,5_16,16
autosave01_02_2012_09_15_20.jpg,142,372,33,35,5_19_1,17
autosave01_02_2012_09_15_21.jpg,840,289,41,42,5_19_1,15
autosave01_02_2012_09_15_21.jpg,735,348,20,25,5_16,16
autosave01_02_2012_09_15_21.jpg,83,362,38,39,5_19_1,17
autosave01_02_2012_09_15_22.jpg,895,262,49,47,5_19_1,15
autosave01_02_2012_09_15_22.jpg,754,339,21,27,5_16,16
autosave01_02_2012_09_15_22.jpg,19,350,42,43,5_19_1,17
autosave01_02_2012_09_15_23.jpg,954,233,60,55,5_19_1,15
autosave01_02_2012_09_15_23.jpg,771,334,21,27,5_16,16
autosave01_02_2012_09_15_24.jpg,1036,189,72,68,5_19_1,15
autosave01_02_2012_09_15_24.jpg,787,323,22,28,5_16,16
autosave01_02_2012_09_15_25.jpg,1150,129,94,81,5_19_1,15
autosave01_02_2012_09_15_25.jpg,808,317,23,29,5_16,16
autosave01_02_2012_09_15_26.jpg,818,312,26,32,5_16,16
autosave01_02_2012_09_15_27.jpg,826,307,26,36,5_16,16
autosave01_02_2012_09_15_28.jpg,835,306,26,36,5_16,16
autosave01_02_2012_09_15_29.jpg,845,307,28,38,5_16,16
autosave01_02_2012_09_15_30.jpg,882,290,32,41,5_16,16
autosave01_02_2012_09_15_31.jpg,942,256,36,50,5_16,16
autosave01_02_2012_09_15_32.jpg,1024,210,43,62,5_16,16
autosave01_02_2012_09_15_33.jpg,1139,151,60,79,5_16,16
autosave01_02_2012_09_16_34.jpg,873,164,92,36,6_16,18
autosave01_02_2012_09_16_34.jpg,892,94,43,65,2_1,19
autosave01_02_2012_09_16_35.jpg,933,97,110,47,6_16,18
autosave01_02_2012_09_16_35.jpg,957,11,45,87,2_1,19
autosave01_02_2012_09_16_49.jpg,826,277,37,49,7_15,20
autosave01_02_2012_09_16_50.jpg,937,210,59,72,7_15,20
autosave01_02_2012_09_16_51.jpg,1117,90,81,107,7_15,20
autosave01_02_2012_09_16_55.jpg,696,332,29,29,2_2,21
autosave01_02_2012_09_16_56.jpg,720,315,31,31,2_2,21
autosave01_02_2012_09_16_57.jpg,170,421,22,21,5_19_1,22
autosave01_02_2012_09_16_58.jpg,154,416,23,21,5_19_1,22
autosave01_02_2012_09_16_59.jpg,143,415,22,21,5_19_1,22
autosave01_02_2012_09_17_00.jpg,136,417,23,23,5_19_1,22
autosave01_02_2012_09_17_01.jpg,768,296,39,36,2_2,21
autosave01_02_2012_09_17_01.jpg,730,308,16,19,2_4,23
